	82	95	30	92	43	58	32	62	98	28
	71	85	21	83	42	48	22	51	88	17
	61	74	10	72	31	37	11	41	77	7
	50	64	0	62	21	27	1	30	67	6
	40	53	10	51	11	16	2	20	56	5
	30	43	1	41	12	6	3	21	46	4
	31	32	2	42	13	5	12	22	35	14
	41	23	11	52	24	15	3	21	25	4
	50	33	10	63	34	26	12	20	35	5
	60	44	0	73	45	36	23	30	46	15
	70	54	1	84	55	47	24	40	56	25
	80	65	2	93	66	57	34	50	67	26
	81	75	3	94	76	68	35	60	77	36
	90	86	4	95	87	69	45	70	78	46
	91	96	14	85	97	79	54	80	89	47
	92	86	15	74	98	69	55	81	99	56
	93	85	16	64	88	59	65	90	89	57
	84	74	26	53	77	49	66	91	78	67
	83	64	25	43	68	38	75	92	69	76
	82	53	24	42	58	29	86	93	59	87
	71	43	23	51	49	18	95	94	69	96
	61	42	33	50	38	8	85	84	79	97
	62	51	34	41	28	9	74	73	89	98
	72	52	35	31	17	19	64	63	99	88
	83	53	36	22	7	29	54	73	89	77
	92	44	27	32	8	28	45	84	88	67
	91	33	17	23	9	37	34	93	77	56
	81	24	7	13	18	48	25	92	67	46
	70	14	6	3	19	58	15	91	56	36
	60	4	5	2	29	57	16	81	46	27
	50	3	6	1	39	47	26	70	36	37
	40	12	16	0	49	48	35	60	46	38
	30	2	26	10	59	58	45	50	55	28
	20	1	35	11	69	68	54	40	65	17
	10	0	46	21	78	77	64	30	66	8
	11	1	47	31	79	76	73	41	75	9
	22	2	37	42	89	86	83	51	85	18
	31	3	48	43	98	87	92	61	94	19
	42	13	49	52	97	96	91	71	93	29
	32	23	38	62	88	95	81	82	83	39
	33	24	28	71	77	94	80	72	84	49
	44	34	27	70	67	85	90	63	74	59
	54	35	36	80	56	75	91	53	65	69
	55	45	26	90	57	66	92	64	74	68
	56	46	25	91	58	67	93	73	84	78
	57	47	14	92	48	68	83	72	94	79
	67	37	15	82	38	78	84	62	95	89
	76	28	5	81	29	88	94	51	86	99
	87	17	4	71	18	98	95	50	96	89
	97	7	3	61	8	88	85	60	86	79
	87	6	12	70	9	77	75	50	76	69
	96	5	11	80	19	68	65	40	66	59
	95	4	10	90	29	69	54	30	55	49
	94	14	20	91	39	59	44	21	45	38
	93	15	10	92	49	58	43	22	34	48
	83	16	0	82	38	57	42	31	25	47
	73	26	1	72	37	56	41	32	14	36
	63	25	2	62	27	55	51	23	4	35
	52	24	3	71	28	54	61	13	5	34
	42	33	12	81	17	44	60	4	6	45
	31	43	11	70	18	53	50	5	7	46
	21	52	10	60	8	63	40	6	16	47
	30	62	20	50	7	64	41	15	27	48
	31	72	21	51	6	74	42	26	28	58
	22	73	11	62	5	84	43	27	17	68
	32	83	1	72	4	93	33	36	18	78
	23	92	0	82	3	94	34	46	8	89
	24	91	10	71	2	85	44	56	9	99
	34	90	20	61	1	86	53	67	19	98
	44	80	30	70	0	76	64	77	29	97
	53	81	40	60	10	87	74	78	39	96
	64	82	41	50	11	88	75	79	49	95
	65	72	31	51	12	78	66	89	59	94
	54	63	32	52	13	69	55	99	58	84
	45	53	23	43	14	68	46	98	57	74
	35	54	13	32	15	67	56	97	47	65
	26	55	4	23	25	76	66	96	37	75
	36	45	5	13	24	86	67	95	38	85
	27	35	6	4	33	87	77	94	48	84
	28	25	7	5	34	88	78	93	49	73
	17	14	8	6	44	89	79	83	39	64
	18	5	9	16	43	99	69	73	29	63
	19	6	8	17	42	98	59	72	38	62
	29	7	9	27	31	97	49	71	37	61
	38	16	19	26	21	96	48	70	47	60
	37	15	29	36	22	95	58	80	57	50
	47	25	38	46	11	94	68	90	56	40
	48	24	37	55	2	93	67	91	66	30
	49	23	28	54	3	83	76	92	65	21
	39	22	18	44	4	82	75	91	64	10
	29	21	8	43	5	81	74	90	73	0
	28	10	17	42	6	71	84	80	83	1
	27	11	7	41	16	62	93	70	82	2
	26	12	8	30	15	51	92	61	71	3
	35	13	9	20	25	41	82	50	72	4
	45	14	19	10	24	30	91	40	63	5
	54	15	18	0	33	20	81	41	52	6
	53	16	29	1	32	10	90	31	42	7
	52	17	38	2	43	11	80	22	51	8
	62	18	37	3	44	21	70	23	61	9
	71	19	36	4	34	30	60	12	50	8
	81	29	35	13	25	40	61	3	41	7
	91	38	46	24	15	30	71	2	31	6
	90	37	47	34	26	20	72	1	32	5
	80	48	57	45	27	10	73	0	23	4
	70	58	68	46	28	11	64	1	12	3
	60	59	69	36	29	22	65	2	13	4
	50	49	78	47	39	21	55	12	14	5
	40	38	77	37	29	31	46	22	24	15
	30	48	67	27	18	42	36	32	33	26
	20	57	56	16	17	43	35	23	44	25
	21	58	55	7	8	53	34	13	45	24
	10	68	65	6	9	64	33	3	54	14
	0	69	66	5	19	74	23	2	44	4
	1	79	75	15	29	84	13	11	33	3
	10	89	74	26	28	83	12	22	23	2
	20	88	84	27	37	82	11	31	32	1
	30	87	83	36	47	81	21	41	42	10
	40	76	82	46	48	90	31	51	52	0
	50	66	81	56	58	91	41	62	63	1
	51	75	70	67	68	92	42	61	72	2
	52	74	71	77	78	93	43	60	82	3
	53	84	81	88	69	94	44	50	92	4
	64	85	80	97	59	95	45	40	93	14
	74	86	90	96	49	94	46	30	84	15
	85	87	91	97	39	95	47	20	73	26
	86	76	92	98	38	96	37	10	83	27
	75	66	82	99	29	97	28	0	72	17
	65	55	71	89	18	98	27	1	62	16
	54	45	61	79	17	88	36	2	63	7
	44	35	60	69	8	78	46	3	52	6
	34	25	50	59	9	68	56	4	42	5
	24	14	40	49	19	57	67	13	32	15
	33	25	30	38	29	48	77	23	22	26
	32	35	20	39	28	58	87	12	11	27
	22	36	10	49	37	69	86	2	21	16
	31	47	0	58	48	79	85	1	30	17
	41	57	10	69	38	89	74	11	40	18
	51	56	20	79	29	99	73	12	50	8
	62	67	30	89	18	98	83	3	61	7
	72	68	31	88	17	97	82	4	70	6
	71	58	41	77	16	87	81	5	80	15
	70	69	51	76	26	86	90	14	81	25
	60	79	62	75	35	85	91	24	82	34
	50	89	72	74	45	84	92	13	83	44
	41	99	63	64	55	93	82	23	73	43
	42	98	53	65	66	94	71	33	83	52
	32	97	54	75	56	95	61	43	93	51
	22	87	55	86	46	96	70	53	94	62
	21	88	45	76	36	97	80	64	95	72
	20	78	34	67	27	98	81	54	96	83
	30	68	33	57	28	89	90	55	97	93
	31	58	23	47	37	78	91	46	98	94
	41	59	13	48	38	68	92	35	99	95
	40	49	12	58	39	57	93	25	89	96
	50	38	22	69	29	56	94	15	78	97
	51	28	21	79	19	66	95	6	77	98
	62	18	10	89	9	65	96	7	87	99
	63	8	0	88	19	74	86	17	76	98
	53	7	1	77	29	85	75	16	66	97
	54	6	2	87	39	84	65	26	67	96
	44	5	3	86	49	73	64	36	68	95
	34	4	13	85	59	72	63	27	57	94
	25	14	24	74	69	82	52	37	47	84
	26	15	33	73	79	71	42	48	46	83
	36	16	32	63	89	61	43	49	45	92
	27	17	31	52	99	60	53	59	34	82
	37	28	30	51	98	70	54	58	24	71
	47	38	20	61	88	80	45	69	13	81
	46	48	21	60	77	90	55	79	3	91
	35	47	11	70	76	81	56	89	2	92
	34	57	12	71	66	82	67	88	1	93
	44	68	23	62	75	72	77	97	10	94
	33	58	22	63	65	83	78	98	0	95
	23	49	32	64	74	93	69	99	1	96
	24	39	42	73	85	94	58	89	2	97
	14	29	41	84	86	95	49	78	12	88
	5	18	40	93	87	96	39	77	22	98
	6	9	50	94	76	97	29	68	23	99
	7	8	51	95	67	98	18	58	33	89
	16	17	61	96	68	88	19	49	44	79
	15	27	60	87	58	77	29	39	53	69
	25	26	70	76	49	68	28	38	54	59
	35	36	71	67	48	58	27	37	55	69
	45	46	62	68	47	57	16	28	56	78
	54	35	72	77	36	67	6	18	66	89
	53	34	63	88	26	76	5	9	75	99
	43	24	52	97	16	86	4	8	65	98
	44	13	42	96	6	85	3	7	64	89
	34	12	31	86	5	74	2	17	63	79
	33	11	21	75	4	65	1	27	52	69
	23	10	20	66	3	64	0	37	42	59
	12	21	30	55	13	63	1	38	31	49
	11	22	41	54	24	52	2	29	32	39
	10	23	40	64	14	42	3	19	43	38
	0	24	50	63	15	41	4	18	53	48
	1	14	51	73	25	30	5	28	44	58
	2	13	61	83	35	20	6	17	45	57
	3	12	60	82	46	10	16	8	34	56
	4	11	70	81	47	1	17	9	33	67
